# ── CUMPRIMENTOS ──
tsukue;mesa / escrivaninha — つくえ;objetos
isu;cadeira — いす;objetos
jisho;dicionário — じしょ;objetos
shinbun;jornal — しんぶん;objetos
# ── LUGARES ──
uchi;casa (meu lar) — うち;lugares
ie;casa — いえ;lugares
mise;loja — みせ;lugares
gakkou;escola — がっこう;lugares
eki;estação — えき;lugares
byouin;hospital — びょういん;lugares
ginkou;banco — ぎんこう;lugares
resutoran;restaurante — レストラン;lugares
konbini;conveniência — コンビニ;lugares
yuubinkyoku;correio — ゆうびんきょく;lugares
kouen;parque — こうえん;lugares
toire;banheiro — トイレ;lugares
# ── VERBOS BÁSICOS ──
taberu;comer — たべる;verbos
nomu;beber — のむ;verbos
iku;ir — いく;verbos
kuru;vir — くる;verbos
miru;ver / olhar — みる;verbos
kiku;ouvir / perguntar — きく;verbos
hanasu;falar — はなす;verbos
yomu;ler — よむ;verbos
kaku;escrever — かく;verbos
suru;fazer — する;verbos
neru;dormir — ねる;verbos
okiru;acordar / levantar — おきる;verbos
kaeru;voltar — かえる;verbos
kau;comprar — かう;verbos
wakaru;entender — わかる;verbos
shiru;saber / conhecer — しる;verbos
# ── ADJETIVOS ──
ookii;grande — おおきい;adjetivos
chiisai;pequeno — ちいさい;adjetivos
ii / yoi;bom — いい / よい;adjetivos
warui;ruim / mau — わるい;adjetivos
atsui;quente — あつい;adjetivos
samui;frio — さむい;adjetivos
takai;caro / alto — たかい;adjetivos
yasui;barato — やすい;adjetivos
hayai;rápido / cedo — はやい;adjetivos
osoi;lento / tarde — おそい;adjetivos
kawaii;fofo / bonito — かわいい;adjetivos
kirei;bonito / limpo — きれい;adjetivos
omoshiroi;interessante — おもしろい;adjetivos
muzukashii;difícil — むずかしい;adjetivos
yasashii;fácil / gentil — やさしい;adjetivos
# ── PAÍSES ──
nihon;Japão — にほん;países
burajiru;Brasil — ブラジル;países
amerika;Estados Unidos — アメリカ;países
igirisu;Reino Unido — イギリス;países
doitsu;Alemanha — ドイツ;países
furansu;França — フランス;países
chuugoku;China — ちゅうごく;países
kankoku;Coreia do Sul — かんこく;países
# ── PROFISSÕES ──
sensei;professor — せんせい;profissões
gakusei;estudante — がくせい;profissões
isha;médico — いしゃ;profissões
kaishain;funcionário de empresa — かいしゃいん;profissões
enjinia;engenheiro — エンジニア;profissões
kangoshi;enfermeiro(a) — かんごし;profissões
ookku;cozinheiro — コック;profissões
# ── FRASES ──
ikura desu ka;quanto custa? — いくらですか;frases
nani;o que? — なに;frases
dare;quem? — だれ;frases
doko;onde? — どこ;frases
itsu;quando? — いつ;frases
naze / doushite;por quê? — なぜ / どうして;frases
dore;qual? — どれ;frases
wakarimasen;não entendo — わかりません;frases
mou ichido onegaishimasu;por favor, repita — もういちどおねがいします;frases
nihongo ga wakarimasuka;você entende japonês? — にほんごがわかりますか;frases
eigo ga hanasemasu ka;você fala inglês? — えいごがはなせますか;frases
